Actor Type,Actor Type (group),Attack Context,Attack Context (group),Calculation2,Calculation2 - Split 2,City,Country,Country Code,Day Of Dateclean,Details,Incident Id,Lat,Location,Long,Means Of Attack,Means Of Attack (group),Region,Gender Female,Gender Male,Gender Unknown,Latitude,Longitude,Total Affected,Total Internationals,Total Kidnapped,Total Killed,Total Nationals,Total Wounded
Host state,Host state,Raid,Raid,44.361488 33.312805),33.312805),,Iraq,IQ,11/29/2018,An armed raid on the organization's office by a state authority resulted in one national staff member being wounded.,2617,44.361488,POINT(44.361488 33.312805),33.312805,Bodily assault,Bodily assault,Baghdad,0,1,0,33.312805,44.361488,1,0,0,0,1,1
Non-state armed group: National,Non-state armed group,Raid,Raid,18.3 7.3),7.3),Batangafo,Central African Republic,CF,11/8/2020,"One INGO national staff member was stabbed in the hand during an attempted kidnapping at his home in Batangafo. Reports indicate Anti-Balaka militants broke into the aid worker's home and tried to abduct him, but were unsuccessful. He was treated at the local hospital and is in stable condition.&nbsp;
",3106,18.3,POINT(18.3 7.3),7.3,Bodily assault,Bodily assault,Ouham,0,1,0,7.3,18.3,1,0,0,0,1,1
Non-state armed group: National,Non-state armed group,Raid,Raid,39.0167 35.95),35.95),Raqqaa,Syrian Arab Republic,SY,12/2/2020,"A male NGO doctor was beaten by Syrian Democratic Forces militants after he refused to treat one of their fighters in Raqqa.&nbsp;
",3291,39.0167,POINT(39.0167 35.95),35.95,Bodily assault,Bodily assault,Raqqa,0,1,0,35.95,39.0167,1,0,0,0,1,1
Non-state armed group: National,Non-state armed group,Raid,Raid,18.2833004 7.3008199),7.3008199),Batangafo,Central African Republic,CF,4/3/2020,"Two NGO guards were injured during a raid of the NGO premise in Batangafo by anti-Balaka militants. The perpetrators stole communication equipment, electronics, and cash. Both victims were taken to a nearby hospital for treatment.
",2919,18.2833004,POINT(18.2833004 7.3008199),7.3008199,Bodily assault,Bodily assault,Ouham,0,2,0,7.3008199,18.2833004,2,0,0,0,2,2
Non-state armed group: Subnational,Non-state armed group,Raid,Raid,18.3 7.3),7.3),Batangafo,Central African Republic,CF,6/25/2019,"Three INGO staff members were assaulted and injured after anti-Balaka armed actors broke into their home. During the armed incursion, the staff were robbed of their mobile phones, cash, and other items. The staff members received medical treatment at a local hospital, and the perpetrators were handed over to MINUSCA by a local anti-Balaka leader.",2720,18.3,POINT(18.3 7.3),7.3,Bodily assault,Bodily assault,Ouham,0,3,0,7.3,18.3,3,0,0,0,3,3
Non-state armed group: Unknown,Non-state armed group,Raid,Raid,-1.0586135 13.3565304),13.3565304),Foube,Burkina Faso,BF,11/21/2021,"One INGO staff member was injured after the organisation supported health centre in Foube, Sanmatenga was burned down by unknown armed perpetrators. Official reports indicate it was likely collateral damage after the initial attack targeted a nearby police station.
",3471,-1.0586135,POINT(-1.0586135 13.3565304),13.3565304,Bodily assault,Bodily assault,Centre North,0,0,1,13.3565304,-1.0586135,1,0,0,0,1,1
Non-state armed group: Unknown,Non-state armed group,Raid,Raid,26.1311 11.4612),11.4612),Ed Daien,Sudan,SD,11/19/2021,"One guard was injured by unknown armed men who raided the organisation compound and stole a vehicle in Ed Daien.
",3578,26.1311,POINT(26.1311 11.4612),11.4612,Bodily assault,Bodily assault,East Darfur,0,1,0,11.4612,26.1311,1,0,0,0,1,1
Non-state armed group: Unknown,Non-state armed group,Raid,Raid,31.595166 4.847202),4.847202),"Juba, Hai Commercial Area",South Sudan,SS,7/16/2018,"One NGO security guard was hurt when several armed men stormed the NGO's compound. The assailants initially opened fire on the team of guards, who were able to flee the gunfire. However, they caught up with the one guard and assaulted him. Although the injuries were reported to be minor, he did require medical attention. The assailants fled without taking anything from the compound.",2515,31.595166,POINT(31.595166 4.847202),4.847202,Bodily assault,Bodily assault,Central Equatoria,0,1,0,4.847202,31.595166,1,0,0,0,1,1
Non-state armed group: Unknown,Non-state armed group,Raid,Raid,31.05127 5.652673),5.652673),Kowari,South Sudan,SS,12/4/2017,A demining team contracted by an INGO was attacked by 15 armed men while the team was camped in Kowari Village between Rokon and Tindalo. Three vehicles and personal property were stolen. The vehicles were later recovered after being abandoned not far from the site. Two of the staff members sustained fractures and bruises.,2338,31.05127,POINT(31.05127 5.652673),5.652673,Bodily assault,Bodily assault,Central Equatoria,0,2,0,5.652673,31.05127,2,0,0,0,2,2
Police or paramilitary,Police or paramilitary,Raid,Raid,28.944167 -4.301111),-4.301111),Kimbi Lulenge,DR Congo,CD,2/12/2020,"Two INGO national staff were beaten and injured after security forces raided their project site accusing the staff of medically treating rebels.
",3186,28.944167,POINT(28.944167 -4.301111),-4.301111,Bodily assault,Bodily assault,South Kivu,0,0,2,-4.301111,28.944167,2,0,0,0,2,2
